Date,Open,High,Low,Close,Adj Close,Volume
1/3/2012,58.485714,58.92857,58.42857,58.747143,50.765709,75555200
1/4/2012,58.57143,59.240002,58.468571,59.062859,51.038536,65005500
1/5/2012,59.278572,59.792858,58.952858,59.718571,51.605175,67817400
1/6/2012,59.967144,60.392857,59.888573,60.342857,52.14463,79573200
1/9/2012,60.785713,61.107143,60.192856,60.247143,52.061932,98506100
1/10/2012,60.844284,60.857143,60.214287,60.462856,52.248333,64549100
1/11/2012,60.382858,60.407143,59.901428,60.364285,52.163139,53771200
1/12/2012,60.325714,60.414288,59.82143,60.19857,52.019955,53146800
1/13/2012,59.957142,60.064285,59.808571,59.972858,51.824898,56505400
1/17/2012,60.599998,60.855713,60.422855,60.671429,52.428562,60724300
1/18/2012,60.994286,61.352856,60.900002,61.30143,52.972977,69197800
1/19/2012,61.450001,61.624287,60.93,61.107143,52.805092,65434600
1/20/2012,61.07,61.07143,59.964287,60.042858,51.885387,103493600
1/23/2012,60.381428,61.207142,60.328571,61.058571,52.763115,76515600
1/24/2012,60.728573,60.728573,59.935715,60.058571,51.898972,136909500
1/25/2012,64.919998,64.921425,63.389999,63.808571,55.139496,239578500
1/26/2012,64.05143,64.112854,63.305714,63.51857,54.888889,80996300
1/27/2012,63.477142,64.068573,63.395714,63.897144,55.216022,74927300
1/30/2012,63.672855,64.842857,63.627144,64.715714,55.923389,94835300
1/31/2012,65.084282,65.46286,64.724289,65.211426,56.351761,97920900
2/1/2012,65.487144,65.57,65.078575,65.169998,56.315968,67511500
2/2/2012,65.128571,65.309998,64.854286,65.017143,56.183865,46699100
2/3/2012,65.328575,65.714287,65.080002,65.668571,56.746796,71649900
2/6/2012,65.482857,66.425713,65.457146,66.281425,57.276386,62353200
2/7/2012,66.464287,67.10714,66.368568,66.975716,57.876339,79055900
2/8/2012,67.214287,68.112854,67.099998,68.097145,58.845402,101972500
2/9/2012,68.68,70.964287,68.651428,70.452858,60.881111,221053700
2/10/2012,70.137146,71.08857,69.792854,70.488571,60.911942,157825500
2/13/2012,71.361427,71.975716,71.012856,71.800003,62.0452,129304000
2/14/2012,72.094284,72.794289,71.714287,72.779999,62.892056,115099600
2/15/2012,73.465714,75.184288,70.984283,71.095711,61.4366,376530000
2/16/2012,70.214287,72.127144,69.51857,71.744286,61.997032,236138000
2/17/2012,71.872856,72.538574,71.471428,71.73143,61.985954,133951300
2/21/2012,72.41143,73.550003,72.017143,73.550003,63.557446,151398800
2/22/2012,73.297142,73.641426,72.724289,73.291428,63.334015,120825600
2/23/2012,73.582855,73.975716,72.785713,73.769997,63.747555,142006900
2/24/2012,74.238571,74.699997,74.091431,74.629997,64.49073,103768000
2/27/2012,74.472855,75.5,73.754288,75.108574,64.904282,136895500
